edition      centre       date         dataType     gridType     stepRange    typeOfLevel  level        shortName    packingType  
2            kwbc         20250101     fc           lambert      0            atmosphere   0            refc         grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            cloudTop     0            unknown      grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            atmosphere   0            unknown      grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            atmosphere   0            veril        grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            surface      0            vis          grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            heightAboveGround  1000         refd         grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            heightAboveGround  4000         refd         grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isothermal   263          refd         grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            surface      0            gust         grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricInhPa  250          u            grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricInhPa  250          v            grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricInhPa  300          u            grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricInhPa  300          v            grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricInhPa  500          gh           grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricInhPa  500          t            grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricInhPa  500          dpt          grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricInhPa  500          u            grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricInhPa  500          v            grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricInhPa  700          gh           grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricInhPa  700          t            grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricInhPa  700          dpt          grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricInhPa  700          wz           grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricInhPa  700          u            grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricInhPa  700          v            grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricInhPa  850          gh           grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricInhPa  850          t            grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricInhPa  850          dpt          grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricInhPa  850          u            grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricInhPa  850          v            grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricInhPa  925          t            grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricInhPa  925          dpt          grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricInhPa  925          u            grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricInhPa  925          v            grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricInhPa  1000         t            grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricInhPa  1000         dpt          grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricInhPa  1000         u            grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            isobaricInhPa  1000         v            grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            pressureFromGroundLayer  10000        unknown      grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            pressureFromGroundLayer  10000        unknown      grid_complex_spatial_differencing 
